city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Groningen,0.24468581100108133,0.16394890078410676,732482.2494197398,7023870.467125853,-0.41104110315890097,-0.7484472712204999
Middelburg,0.35020145887315257,0.18966133539392724,401863.36176371813,6710576.735641695,-0.7511353491665638,-0.8537183238979451
Arnhem,0.30933900087820126,0.17123844079567957,659345.3439685586,6797955.991249009,-0.5743790791620205,-0.7130344824802131
Assen,0.2494714288867731,0.1648506111604057,729142.6646959418,6982997.920389787,-0.4356899746394962,-0.7353770554284829
's-Hertogenbosch,0.3472152827028822,0.17598577821237144,591852.3367005981,6743063.357513758,-0.6387074449753412,-0.7379218460172741
Zwolle,0.26970110714209694,0.16896806724473612,678714.9353665886,6895431.61657986,-0.5099428062349496,-0.736522944861409
Utrecht,0.29888156590367176,0.17674055457973234,569955.792861562,6818281.337889219,-0.6072427952428763,-0.7808638711826976
Leeuwarden,0.24160605442069638,0.16871487566865143,643805.143053819,7029450.123692404,-0.45184732096726865,-0.8102698454326367
Rotterdam,0.30953350909043303,0.181990687437003,498711.3187538657,6785673.333785048,-0.6608934671555966,-0.8166307947361173
Eindhoven,0.3779211999534888,0.17491639509243267,612257.1993630035,6697711.123236825,-0.654109581714656,-0.7071787579237148
Vossavangen,0.199513222041783,0.10904602750640953,717008.840199474,8541356.190229671,0.43499110293557575,-1.3276482668435365
Oslo,0.09039548001154213,0.015667107846660915,1196684.5260276902,8381215.3676753575,0.5826098802146271,-0.9445243711334497
Lillehammer,0.13462281669599158,0.10809394774095159,1168854.653329373,8656495.30109446,0.7236841359284387,-1.0664494577665407
Baerum,0.0933040687471952,0.12110440016423245,1263164.5259294342,8380504.745981934,0.6151552072537312,-0.8994783432641822
Stavanger,0.2215831379375036,0.12675177155098238,632294.7077057943,8173905.558045134,0.1862910957384072,-1.2469836202981441
Leikanger,0.203214896617442,0.10370197108497455,762538.5119339245,8668033.60122272,0.5288195829875892,-1.3444610975757962
Kristiansand,0.19416327121603913,0.12679816826021104,890555.9263461898,8002396.723285847,0.2177894332859438,-1.0087394212477263
Bergen,0.22403662219212458,0.11528787281148668,592720.6287287859,8487308.98087694,0.3429926844286255,-1.3911086886015434
Skien,0.11566214451506297,0.11908851626320344,1068667.111615425,8223740.701207093,0.43057765008802384,-0.9717304159283433
Arendal,0.16558237277960486,0.1239269180455013,975826.656293836,8065597.929270066,0.2956020004247657,-0.9749915070837205
Hamar,0.11659749238701043,0.1131048801762885,1232195.4435907442,8584609.14059896,0.7146321696088078,-0.9968401895660759
Tonsberg,0.10429260089616357,0.12115596261658705,1160060.4135567036,8237667.527729335,0.4837037863461404,-0.9153896115634872
Drammen,0.0937604286226133,0.11655056676533125,1134423.5348270126,8345878.403312952,0.531875854320611,-0.9732173310608525
Haugesund,0.225207046058356,0.12452080091121163,587488.6126615001,8269951.931427885,0.21812013633208327,-1.3131639088804095
Alesund,0.24882180860657382,0.09599094162993618,711108.9071874304,8989639.802622322,0.6842606801608664,-1.499646359838894
Sandnes,0.22333594837938345,0.12787830745434034,633407.9026137269,8147046.657701346,0.1717325962366658,-1.2361666392747415
Gjovik,0.11485212215420659,0.11126259600527061,1191118.551488027,8580044.128124397,0.6917077699039407,-1.0227977689559444
Moss,0.09766226467340006,0.12092604600618552,1187689.9111715932,8275444.877846608,0.51864858638129,-0.9109384695461378
Lodz,0.21628759440171383,0.2582082877416392,2165319.9432162815,6759544.366055233,0.150318521021938,0.31575893449151127
Lublin,0.29086440699991695,0.3343966998019424,2512781.4698293274,6665706.678845235,0.26971721820188055,0.5849743673207874
Wroclaw,0.13508007815573,0.20584701216410756,1895770.9282094496,6640845.487108363,-0.05003739039536281,0.17868607279516358
Bialystok,0.28778756755267626,0.36593242432469425,2579272.60168015,7010866.449434419,0.49684626700290124,0.5003900293964758
Poznan,0.14648286267183078,0.210389606385996,1881288.2624572443,6873834.51902556,0.07385943812802243,0.08160273289724418
Zielona Gora,0.09766492705253134,0.18746109776491307,1725452.1072957406,6791162.102031016,-0.04987685082566795,0.007621405411034843
Bydgoszcz,0.19555883456044193,0.23381572679561927,2004864.029186857,7005299.788313133,0.20905829750167015,0.1155657137743118
Szczecin,0.10877957702861643,0.1788565468169831,1617472.2012262663,7061142.311739657,0.04849642617323546,-0.16630481057123592
Gdansk,0.23363457322067274,0.24997103804191786,2074995.3083866208,7238632.960098687,0.3750803693333973,0.07534774360212082
Olsztyn,0.25277789983002513,0.29341104857825034,2279823.1714462424,7132369.312295495,0.4168043938191692,0.25314528096447875
Katowice,0.17980261528702549,0.2365158508184115,2117296.714888062,6491495.262170752,-0.02427792561097153,0.3838805687111517
Rzeszow,0.26501640179940716,0.30600498287692013,2449028.797452019,6458494.162864023,0.1215509960290877,0.6196983990430243
Krakow,0.20381842662338173,0.25511950993114646,2221937.036233741,6456673.275328225,0.00798807117565481,0.4674161660636018
Opole,0.1555413186509,0.21865724413415352,1996103.185261427,6565761.886425996,-0.04255651298199048,0.2744105487365227
